observation_date,A191RD3A086NBEA
1929-01-01,8.778
1930-01-01,8.457
1931-01-01,7.587
1932-01-01,6.700
1933-01-01,6.514
1934-01-01,6.871
1935-01-01,7.012
1936-01-01,7.097
1937-01-01,7.402
1938-01-01,7.190
1939-01-01,7.120
1940-01-01,7.205
1941-01-01,7.692
1942-01-01,8.304
1943-01-01,8.683
1944-01-01,8.890
1945-01-01,9.120
1946-01-01,10.296
1947-01-01,11.426
1948-01-01,12.067
1949-01-01,12.046
1950-01-01,12.195
1951-01-01,13.060
1952-01-01,13.286
1953-01-01,13.447
1954-01-01,13.572
1955-01-01,13.801
1956-01-01,14.271
1957-01-01,14.744
1958-01-01,15.080
1959-01-01,15.287
1960-01-01,15.495
1961-01-01,15.660
1962-01-01,15.850
1963-01-01,16.032
1964-01-01,16.276
1965-01-01,16.574
1966-01-01,17.039
1967-01-01,17.533
1968-01-01,18.280
1969-01-01,19.176
1970-01-01,20.189
1971-01-01,21.212
1972-01-01,22.130
1973-01-01,23.342
1974-01-01,25.443
1975-01-01,27.800
1976-01-01,29.330
1977-01-01,31.152
1978-01-01,33.343
1979-01-01,36.110
1980-01-01,39.371
1981-01-01,43.097
1982-01-01,45.759
1983-01-01,47.552
1984-01-01,49.267
1985-01-01,50.826
1986-01-01,51.849
1987-01-01,53.134
1988-01-01,55.008
1989-01-01,57.165
1990-01-01,59.305
1991-01-01,61.310
1992-01-01,62.707
1993-01-01,64.194
1994-01-01,65.564
1995-01-01,66.939
1996-01-01,68.164
1997-01-01,69.340
1998-01-01,70.119
1999-01-01,71.111
2000-01-01,72.722
2001-01-01,74.360
2002-01-01,75.515
2003-01-01,77.006
2004-01-01,79.077
2005-01-01,81.556
2006-01-01,84.071
2007-01-01,86.349
2008-01-01,88.013
2009-01-01,88.556
2010-01-01,89.632
2011-01-01,91.481
2012-01-01,93.185
2013-01-01,94.771
2014-01-01,96.421
2015-01-01,97.316
2016-01-01,98.241
2017-01-01,100.000
2018-01-01,102.291
2019-01-01,103.979
2020-01-01,105.361
2021-01-01,110.172
2022-01-01,118.026
2023-01-01,122.273
2024-01-01,125.230
